mz,cluster,fold_change,p_value,p_adjusted,significant
852.1774206248833,2,3.4356,0.0,0.0,True
852.1868186769797,2,3.3763,0.0,0.0,True
852.1962168845434,2,1.7219,0.0,0.0,True
988.0915671214094,2,1.1632,0.0,0.0,True
988.1033009289303,2,2.5697,0.0,0.0,True
988.1150349454649,2,3.0155,0.0,0.0,True
988.1267691710184,2,3.1641,0.0,0.0,True
988.1385036055954,2,3.2122,0.0,0.0,True
988.150238249201,2,3.2225,0.0,0.0,True
988.1619731018404,2,3.222,0.0,0.0,True
988.1737081635182,2,3.2132,0.0,0.0,True
988.1854434342396,2,3.1576,0.0,0.0,True
988.1971789140094,2,3.0523,0.0,0.0,True
988.2089146028328,2,2.7451,0.0,0.0,True
988.2206505007146,2,1.3818,0.0,0.0,True
